Id,Name,Image_url,Tutorial_url,Description,Type,Level1,Level2
11,Basic Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-ThemedDensity-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-ThemedDensity,Basic density plot using theme_ipsum,Density Plot,BASICS,Distribution
12,Mirrored Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-MirroredDensity-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-MirroredDensity,Mirror density plot using the ggplot2 package and TCGA-LIHC dataset,Density Plot,BASICS,Distribution
13,Multiple Groups Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-MultipleGroupsDensity_Diamonds-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-MultipleGroupsDensity_Diamonds,Multiple groups density plot using the ggplot2 package and diamonds dataset,Density Plot,BASICS,Distribution
14,Multiple Groups Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-MultipleGroupsDensity_iris-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-MultipleGroupsDensity_iris,Multiple groups density plot using the ggplot2 package and iris dataset,Density Plot,BASICS,Distribution
15,Faceted Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-FacetedDensity-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-FacetedDensity,Facet density plot using the ggplot2 package and diamonds dataset,Density Plot,BASICS,Distribution
16,Stacked Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-StackedDensity-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-StackedDensity,Stacked density plot using the ggplot2 package and diamonds dataset,Density Plot,BASICS,Distribution
17,Marginal Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-MarginalDensity-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-MarginalDensity,Marginal density plot using the ggExtra package and mtcars dataset,Density Plot,BASICS,Distribution
18,Marginal Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-MarginalDistributions_Parameters-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-MarginalDistributions_Parameters,Customizable parameters for marginal density plot,Density Plot,BASICS,Distribution
19,Annotated Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-AnnotatedDensity-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-AnnotatedDensity,Annotated density plot using the ggplot2 package and iris dataset,Density Plot,BASICS,Distribution
20,Annotated Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-AnnotatedDensity_Parameters-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-AnnotatedDensity_Parameters,Customizable parameters for annotated density plot,Density Plot,BASICS,Distribution
21,Basic Histograms,https://openbiox.github.io/Bizard/Distribution/Histogram_files/figure-html/fig-BasicHist-1.png,https://openbiox.github.io/Bizard/Distribution/Histogram.html#fig-BasicHist,Basic histogram using the ggplot2 package and TCGA-LIHC dataset,Histogram,BASICS,Distribution
22,Basic Histograms,https://openbiox.github.io/Bizard/Distribution/Histogram_files/figure-html/fig-bins-1.png,https://openbiox.github.io/Bizard/Distribution/Histogram.html#fig-bins,Key parameters binwidth/bins for basic histograms,Histogram,BASICS,Distribution
23,Histogram with Density Curve,https://openbiox.github.io/Bizard/Distribution/Histogram_files/figure-html/fig-DensityCurve-1.png,https://openbiox.github.io/Bizard/Distribution/Histogram.html#fig-DensityCurve,Histogram with density curve using the ggplot2 package and TCGA-LIHC dataset,Histogram,BASICS,Distribution
24,Mirrored Histogram,https://openbiox.github.io/Bizard/Distribution/Histogram_files/figure-html/fig-MirroredHistogram-1.png,https://openbiox.github.io/Bizard/Distribution/Histogram.html#fig-MirroredHistogram,Mirrored histogram using the ggplot2 package and TCGA-LIHC dataset,Histogram,BASICS,Distribution
25,Overlapping Histograms on the Same Axis,https://openbiox.github.io/Bizard/Distribution/Histogram_files/figure-html/fig-OverlappingHistograms-1.png,https://openbiox.github.io/Bizard/Distribution/Histogram.html#fig-OverlappingHistograms,Overlapping histograms on the same axis using the ggplot2 package and TCGA-LIHC dataset,Histogram,BASICS,Distribution
26,Faceted Histograms for Multiple Variables,https://openbiox.github.io/Bizard/Distribution/Histogram_files/figure-html/fig-FacetedHistograms-1.png,https://openbiox.github.io/Bizard/Distribution/Histogram.html#fig-FacetedHistograms,Faceted histograms for multiple variables using the ggplot2 package and TCGA-LIHC dataset,Histogram,BASICS,Distribution
27,Adding Marginal Distributions Using ggMarginal,https://openbiox.github.io/Bizard/Distribution/Histogram_files/figure-html/fig-MarginalDistributions-1.png,https://openbiox.github.io/Bizard/Distribution/Histogram.html#fig-MarginalDistributions,Adding marginal distributions using the ggMarginal package and the mtcars dataset,Histogram,BASICS,Distribution
28,Adding Marginal Distributions Using ggMarginal,https://openbiox.github.io/Bizard/Distribution/Histogram_files/figure-html/fig-MarginalDistributions_Parameters-1.png,https://openbiox.github.io/Bizard/Distribution/Histogram.html#fig-MarginalDistributions_Parameters,Customizable parameters for marginal distribution plot,Histogram,BASICS,Distribution
29,Break BarPlot,https://openbiox.github.io/Bizard/images/Distribution/BreakPlot_fig1.png,https://openbiox.github.io/Bizard/Distribution/BreakPlot.html#fig-BreakPlotFig1,Break barplot using the ggbreak package and ToothGrowth dataset,Break Plot,BASICS,Distribution
30,Break Grouped Scatter Plot,https://openbiox.github.io/Bizard/images/Distribution/BreakPlot_fig2.png,https://openbiox.github.io/Bizard/Distribution/BreakPlot.html#fig-BreakPlotFig2,Break grouped scatter plot using the ggbreak package and ToothGrowth dataset,Break Plot,BASICS,Distribution
31,Break Line Plot,https://openbiox.github.io/Bizard/images/Distribution/BreakPlot_fig3.png,https://openbiox.github.io/Bizard/Distribution/BreakPlot.html#fig-BreakPlotFig3,Break line plot using the ggbreak package and ToothGrowth dataset,Break Plot,BASICS,Distribution
32,More Advanced Break Plot,https://openbiox.github.io/Bizard/images/Distribution/BreakPlot_fig4.png,https://openbiox.github.io/Bizard/Distribution/BreakPlot.html#fig-BreakPlotFig4,More advanced break plot using the ggbreak package and ToothGrowth dataset,Break Plot,BASICS,Distribution
33,Basic Box Plot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-1-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#basic-plotting-1,Basic box plot using the ggplot2 package and TCGA-BRCA dataset,Box Plot,BASICS,Distribution
34,Basic Box Plot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-2-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#parameter-adjustment,Basic box plot using the ggplot2 package and mtcars dataset,Box Plot,BASICS,Distribution
35,Basic Box Plot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-3-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#color-settings,Color settings for basic box plot,Box Plot,BASICS,Distribution
36,Basic Box Plot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-4-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#color-settings,Color settings for basic box plot with fill=class,Box Plot,BASICS,Distribution
37,Basic Box Plot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-5-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#color-settings,Color settings for basic box plot with palette="Dark2",Box Plot,BASICS,Distribution
38,Basic Box Plot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-6-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#group-highlighting,Group highlighting for basic box plot,Box Plot,BASICS,Distribution
39,Variable Width Boxplot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-7-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#variable-width-boxplot,Variable width boxplot using the ggplot2 package and manually created dataset,Box Plot,BASICS,Distribution
40,Variable Width Boxplot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-8-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#variable-width-boxplot,Variable width boxplot using the ggplot2 package and mpg dataset,Box Plot,BASICS,Distribution
41,Boxplot for Continuous Variables,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-9-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#boxplot-for-continuous-variables,Boxplot for continuous variables using the ggplot2 package and diamonds dataset,Box Plot,BASICS,Distribution
42,Boxplot with Mean Values,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-10-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#boxplot-with-mean-values,Boxplot with mean values using the ggplot2 package and manually created dataset,Box Plot,BASICS,Distribution
43,Boxplot with Mean Values,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-11-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#boxplot-with-mean-values,Boxplot with mean values using the ggplot2 package and mpg dataset,Box Plot,BASICS,Distribution
44,Scatter Boxplot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-12-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#scatter-boxplot,Scatter boxplot using the ggplot2 package and manually created dataset,Box Plot,BASICS,Distribution
45,Violin Plot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-13-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#violin-plot,Violin plot using the ggplot2 package and manually created dataset,Box Plot,BASICS,Distribution
46,Grouped Boxplot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-14-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#grouped-boxplot,Grouped boxplot using the ggplot2 package and manually created dataset,Box Plot,BASICS,Distribution
47,Grouped Boxplot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-15-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#grouped-boxplot,Adding statistics analysis for grouped boxplot,Box Plot,BASICS,Distribution
48,Grouped Boxplot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-16-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#grouped-boxplot,Grouped boxplot for each subgroup separately,Box Plot,BASICS,Distribution
49,Grouped Boxplot,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-17-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#grouped-boxplot,Grouped boxplot with variety as the basis,Box Plot,BASICS,Distribution
50,Adding Marginal Distributions to Boxplots,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-18-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#adding-marginal-distributions-to-boxplots,Original scatter plot,Box Plot,BASICS,Distribution
51,Adding Marginal Distributions to Boxplots,https://openbiox.github.io/Bizard/Distribution/BoxPlot_files/figure-html/unnamed-chunk-19-1.png,https://openbiox.github.io/Bizard/Distribution/BoxPlot.html#adding-marginal-distributions-to-boxplots,Adding marginal boxplot distributions,Box Plot,BASICS,Distribution
52,Basic Ridgeline Plot,https://openbiox.github.io/Bizard/Distribution/Ridgeline_files/figure-html/fig-BasicRidgeline-1.png,https://openbiox.github.io/Bizard/Distribution/Ridgeline.html#fig-BasicRidgeline,Basic ridgeline plot using the ggridges package and iris dataset,Ridgeline Plot,BASICS,Distribution
53,Basic Ridgeline Plot,https://openbiox.github.io/Bizard/Distribution/Ridgeline_files/figure-html/fig-BasicRidgeline2-1.png,https://openbiox.github.io/Bizard/Distribution/Ridgeline.html#fig-BasicRidgeline2,Basic ridgeline plot using the ggridges package and TCGA_clinic dataset,Ridgeline Plot,BASICS,Distribution
54,Histogram Ridgeline Plot,https://openbiox.github.io/Bizard/Distribution/Ridgeline_files/figure-html/fig-ChangingShapes-1.png,https://openbiox.github.io/Bizard/Distribution/Ridgeline.html#fig-ChangingShapes,Histogram ridgeline plot using the ggridges package and iris dataset,Ridgeline Plot,BASICS,Distribution
55,Histogram Ridgeline Plot,https://openbiox.github.io/Bizard/Distribution/Ridgeline_files/figure-html/fig-ChangingShapes2-1.png,https://openbiox.github.io/Bizard/Distribution/Ridgeline.html#fig-ChangingShapes2,Histogram ridgeline plot using the ggridges package and TCGA_clinic dataset,Ridgeline Plot,BASICS,Distribution
56,Ridgeline Plot with Variable Colors,https://openbiox.github.io/Bizard/Distribution/Ridgeline_files/figure-html/fig-ChangingColors-1.png,https://openbiox.github.io/Bizard/Distribution/Ridgeline.html#fig-ChangingColors,Ridgeline plot with variable colors using the ggridges package and iris dataset,Ridgeline Plot,BASICS,Distribution
57,Ridgeline Plot with Variable Colors,https://openbiox.github.io/Bizard/Distribution/Ridgeline_files/figure-html/fig-ChangingColors2-1.png,https://openbiox.github.io/Bizard/Distribution/Ridgeline.html#fig-ChangingColors2,Ridgeline plot with variable colors using the ggridges package and TCGA_clinic dataset,Ridgeline Plot,BASICS,Distribution
58,Basic Beeswarm Plot,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-BasicBee-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-BasicBee,Basic beeswarm plot using the beeswarm package and iris dataset,Beeswarm Plot,BASICS,Distribution
59,Basic Beeswarm Plot,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-BasicBee2-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-BasicBee2,Basic beeswarm plot using the beeswarm package and TCGA-LIHC dataset,Beeswarm Plot,BASICS,Distribution
60,Flipping Beeswarm Plot,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-Flip-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-Flip,Flipping beeswarm plot using the beeswarm package and TCGA_clinic dataset,Beeswarm Plot,BASICS,Distribution
61,Changing Basic Features of Beeswarm Plot,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-Features-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-Features,Changing basic features of beeswarm plot using the beeswarm package and iris dataset,Beeswarm Plot,BASICS,Distribution
62,Changing Basic Features of Beeswarm Plot,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-Features2-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-Features2,Changing basic features of beeswarm plot using the beeswarm package and TCGA_clinic dataset,Beeswarm Plot,BASICS,Distribution
63,Grouping Beeswarm Plot,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-grouping-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-grouping,Grouping beeswarm plot using the beeswarm package and iris dataset,Beeswarm Plot,BASICS,Distribution
64,Grouping Beeswarm Plot,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-grouping2-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-grouping2,Grouping beeswarm plot using the beeswarm package and TCGA_clinic dataset,Beeswarm Plot,BASICS,Distribution
65,Custom Position Behavior of Beeswarm Plot,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-CustomPositionBehavior-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-CustomPositionBehavior,Custom position behavior of beeswarm plot using the beeswarm package and iris dataset,Beeswarm Plot,BASICS,Distribution
66,Custom Position Behavior of Beeswarm Plot,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-CustomPositionBehavior2-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-CustomPositionBehavior2,Custom position behavior of beeswarm plot using the beeswarm package and TCGA_clinic dataset,Beeswarm Plot,BASICS,Distribution
67,Basic Beeswarm Using the ggbeeswarm Package,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-Basicggbeeswarm-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-Basicggbeeswarm,Basic beeswarm using the ggbeeswarm package and iris dataset,Beeswarm Plot,BASICS,Distribution
68,Basic Beeswarm Using the ggbeeswarm Package,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-BasicggBee2-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-BasicggBee2,Basic beeswarm using the ggbeeswarm package and TCGA_clinic dataset,Beeswarm Plot,BASICS,Distribution
69,Flipping Beeswarm Plot Using the ggbeeswarm Package,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-ggFlip-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-ggFlip,Flipping beeswarm plot using the ggbeeswarm package and iris dataset,Beeswarm Plot,BASICS,Distribution
70,Flipping Beeswarm Plot Using the ggbeeswarm Package,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-ggFlip2-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-ggFlip2,Flipping beeswarm plot using the ggbeeswarm package and TCGA_clinic dataset,Beeswarm Plot,BASICS,Distribution
71,Customization of Beeswarm Plot Using the ggbeeswarm Package,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-ggFeatures-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-ggFeatures,Customization of beeswarm plot using the ggbeeswarm package and iris dataset,Beeswarm Plot,BASICS,Distribution
72,Customization of Beeswarm Plot Using the ggbeeswarm Package,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-ggFeatures2-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-ggFeatures2,Customization of beeswarm plot using the ggbeeswarm package and TCGA_clinic dataset,Beeswarm Plot,BASICS,Distribution
73,Changing Position of Points Using the ggbeeswarm Package,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-PositionOfPoint-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-PositionOfPoint,Changing position of points using the ggbeeswarm package and iris dataset,Beeswarm Plot,BASICS,Distribution
74,Customizing Color of Points Using the ggbeeswarm Package,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-ColorPoints-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-ColorPoints,Customizing color of points using the ggbeeswarm package and TCGA_clinic dataset,Beeswarm Plot,BASICS,Distribution
75,Grouping and Adding Statistical Analysis Using the ggbeeswarm Package,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-ggGrouping-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-ggGrouping,Grouping and adding statistical analysis using the ggbeeswarm package and iris dataset,Beeswarm Plot,BASICS,Distribution
76,Grouping and Adding Statistical Analysis Using the ggbeeswarm Package,https://openbiox.github.io/Bizard/Distribution/Beeswarm_files/figure-html/fig-ggGrouping2-1.png,https://openbiox.github.io/Bizard/Distribution/Beeswarm.html#fig-ggGrouping2,Grouping and adding statistical analysis using the ggbeeswarm package and TCGA-LIHC dataset,Beeswarm Plot,BASICS,Distribution
77,Radial Column Chart,https://openbiox.github.io/Bizard/Distribution/RadialColumnChart_files/figure-html/fig-1.1BasicRadial-1.png,https://openbiox.github.io/Bizard/Distribution/RadialColumnChart.html#fig-1.1BasicRadial,Radial column chart using the manually created dataset,Radial Column Chart,BASICS,Distribution
78,Radial Column Chart,https://openbiox.github.io/Bizard/Distribution/RadialColumnChart_files/figure-html/fig-1.2LabeledRadial-1.png,https://openbiox.github.io/Bizard/Distribution/RadialColumnChart.html#fig-1.2LabeledRadial,Radial column chart with patient labels using the manually created dataset,Radial Column Chart,BASICS,Distribution
79,More Advanced Radial Column Chart,https://openbiox.github.io/Bizard/Distribution/RadialColumnChart_files/figure-html/fig-2.1DensityCurve-1.png,https://openbiox.github.io/Bizard/Distribution/RadialColumnChart.html#fig-2.1DensityCurve,More advanced radial column chart using the manually created dataset,Radial Column Chart,BASICS,Distribution
80,More Advanced Radial Column Chart,https://openbiox.github.io/Bizard/Distribution/RadialColumnChart_files/figure-html/fig-2.2DensityCurve-1.png,https://openbiox.github.io/Bizard/Distribution/RadialColumnChart.html#fig-2.2DensityCurve,More advanced radial column chart using the manually created dataset,Radial Column Chart,BASICS,Distribution
81,Basic Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-BasicPlot-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-BasicPlot,Basic scatter plot using the ggplot2 package and iris dataset,Scatter Plot,BASICS,Correlation
82,Set Point Style for Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-PointStyle-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-PointStyle,"Set the shape, size, and color parameters in geom_point()",Scatter Plot,BASICS,Correlation
83,Multi-class Data Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-Multi-classDataPlot-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-Multi-classDataPlot,Multi-class data scatter plot using the ggplot2 package and iris dataset,Scatter Plot,BASICS,Correlation
84,Multi-class Data Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-MapFeatures-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-MapFeatures,Map categorical variables to species for scatter plot,Scatter Plot,BASICS,Correlation
85,Multi-class Data Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-ChangeLegendPosition-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-ChangeLegendPosition,"Change legend position for scatter plot with legend.position.inside = c(0.87, 0.8)",Scatter Plot,BASICS,Correlation
86,Add Point Labels for Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-Point_Labels1-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-Point_Labels1,Add point labels for scatter plot using geom_text(),Scatter Plot,BASICS,Correlation
87,Add Point Labels for Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-Point_Labels2-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-Point_Labels2,Add point labels for scatter plot using geom_label(),Scatter Plot,BASICS,Correlation
88,Regression Curve for Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-RegressionCurve-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-RegressionCurve,Draw regression curve for scatter plot using geom_smooth(),Scatter Plot,BASICS,Correlation
89,Regression Curve for Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-RegressionEquation-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-RegressionEquation,Add regression equation for scatter plot using geom_labelsmooth(),Scatter Plot,BASICS,Correlation
90,Regression Curve for Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-RegressionEquation_Label-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-RegressionEquation_Label,Adjust position of regression equation label for scatter plot using label.y and label.x parameters ,Scatter Plot,BASICS,Correlation
91,Regression Curve for Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-RegressionEquations-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-RegressionEquations,Plotting multi-class data with regression equations for scatter plot,Scatter Plot,BASICS,Correlation
92,Regression Curve for Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-CorrelationCoefficient-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-CorrelationCoefficient,Display correlation coefficient for scatter plot,Scatter Plot,BASICS,Correlation
93,Add Labels to Regression Curve for Scatter Plot,https://openbiox.github.io/Bizard/Correlation/Scatter_files/figure-html/fig-RegressionCurve_Label-1.png,https://openbiox.github.io/Bizard/Correlation/Scatter.html#fig-RegressionCurve_Label,Single-type data plotting with label for scatter plot,Scatter Plot,BASICS,Correlation
